Year,Country of asylum,Country of asylum (ISO),Refugees under UNHCR mandate,Asylum seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2023,Niger,NER,251755,50356,335277,0,0,0,37774
2023,Bangladesh,BGD,961801,16,0,0,961729,174850,0
2023,Trinidad and Tobago,TTO,3407,24267,0,10878,0,0,955
2023,Bahamas,BHS,10,31,0,0,0,0,723
2023,Gambia,GMB,3749,425,0,0,0,0,0
2023,Liberia,LBR,1146,627,0,0,0,0,0
2023,Mauritius,MUS,5,8,0,0,0,0,0
2023,Honduras,HND,176,121,247090,0,0,0,261189
2023,Liechtenstein,LIE,605,16,0,0,0,0,0
2023,Saudi Arabia,SAU,473,3937,0,0,70000,0,0
2023,Lesotho,LSO,308,321,0,0,0,0,6
2023,Saint Kitts and Nevis,KNA,0,14,0,0,0,0,60
2023,Comoros,COM,10,0,0,0,0,0,0
2023,Djibouti,DJI,21612,8915,0,0,0,0,0
2023,Nicaragua,NIC,311,124,0,0,0,0,584
2023,El Salvador,SLV,106,158,71500,0,0,49305,9275
2023,Belize,BLZ,145,1982,0,0,0,0,9452
2023,Cayman Islands,CYM,47,246,0,0,0,0,116
2023,Curacao ,CUW,0,0,0,14000,0,1700,0
2023,Eritrea,ERI,119,0,0,0,0,0,17
2023,Barbados,BRB,10,0,0,0,0,0,0
2023,Anguilla,AIA,0,0,0,0,0,0,56
2023,Antigua and Barbuda,ATG,0,0,0,0,0,0,105
2023,Jamaica,JAM,31,0,0,0,0,0,67
2023,Guinea-Bissau,GNB,24,30,0,0,0,0,0
2023,Sierra Leone,SLE,0,0,0,0,0,0,210
2023,Monaco,MCO,17,0,0,0,0,0,0
2023,Oman,OMN,295,421,0,0,0,0,0
2023,Viet Nam,VNM,19,0,0,0,26811,0,0
2023,Turks and Caicos Islands,TCA,7,0,0,0,0,0,0
2023,Cambodia,KHM,24,5,0,0,75000,0,0
2023,Myanmar,MMR,0,0,1845208,0,630000,0,0
2023,Solomon Islands,SLB,0,0,1000,0,0,0,0
2023,Brunei Darussalam,BRN,0,0,0,0,20863,0,0
2023,Cabo Verde,CPV,0,0,0,0,115,0,0
2023,Singapore,SGP,0,5,0,0,1109,0,0
2023,Grenada,GRD,0,0,0,0,0,0,234
2023,Sint Maarten (Dutch part),SXM,0,131,0,0,0,0,0
2023,Saint Vincent and the Grenadines,VCT,0,0,0,0,0,0,7
